Timestamp,What kind of visa application is yours?,Which level is your applied study?,Intake Applied for?,College Applied To?,When did you apply for your visa online?,When did you give your biometrics?,When did your biometrics get updated in GC key?,When did you give your medical?,When was your medical updated in GC Key?,Have you received a decision on your application?,When did you receive your decision?,What was the reason for your refusal?,When did you book your VFS appointment for package transmission?,When was/is your appointment (visit date) to VFS for passport submission?,Have you received your passport back?,When did you receive back your passport?
2021/10/22 6:57:21 PM GMT+5:45,Study Permit,Diploma,,,02-09-2021,08-09-2021,Same Day,15-09-2021,06-10-2021,Waiting for a Decision,,,,,,
2021/10/22 7:01:46 PM GMT+5:45,Study Permit,Diploma,,,25-08-2021,31-08-2021,Same Day,15-08-2021,06-09-2021,Waiting for a Decision,,,,,,
2021/10/22 7:03:52 PM GMT+5:45,Study Permit,Diploma,,,30-08-2021,02-09-2021,The Next Day,09-08-2021,03-09-2021,Waiting for a Decision,,,,,,
2021/10/22 7:24:17 PM GMT+5:45,Study Permit,Post Graduate Certificate (2 year),,,29-08-2021,30-08-2021,Same Day,27-08-2021,06-09-2021,Waiting for a Decision,,,,,,
2021/10/22 7:26:08 PM GMT+5:45,Study Permit,Diploma,,,18-08-2021,20-08-2021,Same Day,15-08-2021,01-10-2021,Waiting for a Decision,,,,,,
2021/10/22 7:31:28 PM GMT+5:45,Study Permit,Advance Diploma (3 years),Jan-22,,22-07-2021,27-10-2021,The Next Day,,,Waiting for a Decision,,,,,,
2021/10/22 7:34:36 PM GMT+5:45,Study Permit,Post Graduate Certificate (2 year),Sep-21,,17-06-2021,30-06-2021,Same Day,20-05-2021,07-07-2021,Waiting for a Decision,,,,,,
2021/10/22 8:19:58 PM GMT+5:45,Study Permit,Diploma,Jan-22,Centennial College,05-05-2021,29-06-2021,The Next Day,29-06-2021,15-07-2021,Waiting for a Decision,,,,,,
2021/10/22 8:22:50 PM GMT+5:45,Study Permit,Bachelor,Jan-22,Yorkville university ,22-09-2021,05-10-2021,The Next Day,29-09-2021,,Waiting for a Decision,,,,,,
2021/10/22 8:23:07 PM GMT+5:45,Study Permit,Phd,May-22,"Form banaune Bhai, college matrai hoina university pani huncha.ra +2 garne matrai chaina Yaha. Kura bujya ho",26-08-2021,31-08-2021,Same Day,05-08-2021,01-09-2021,Waiting for a Decision,,,,,,
2021/10/22 8:23:24 PM GMT+5:45,Study Permit,Diploma,Jan-22,Fanshawe College,28-04-2021,30-06-2021,Same Day,18-04-2021,10-05-2021,Approved (Received PPR),01-09-2021,,01-09-2021,03-09-2021,Yes,22-09-2021
2021/10/22 8:26:46 PM GMT+5:45,Study Permit,Diploma,Sep-21,St.Clair College,13-05-2021,28-06-2021,Same Day,28-06-2021,13-07-2021,Waiting for a Decision,,,,,,
2021/10/22 8:27:19 PM GMT+5:45,Study Permit,Post Graduate Certificate (2 year),Jan-22,Lambton college,31-08-2021,01-09-2021,Same Day,24-08-2021,06-09-2021,Waiting for a Decision,,,,,,
