timestamp,visa_type,study_level,intake,college,application_date,biometrics_date,biometrics_update_date,medical_date,medical_update_date,decision_received,correspondence_date,refusal_reason,vfs_appointment_booking_date,vfs_appointment_date,received_passport,passport_receipt_date
2021/10/24 9:45:35 AM GMT+5:45,Study Permit,Bachelor,Jan-22,Algoma university ,2021-01-25,2021-01-27,2021-01-27 00:00:00,2021-08-11,,Waiting for a Decision,,,,,,
2021/10/23 9:46:05 AM GMT+5:45,Study Permit,Advance Diploma (3 Years),Jan-22,Seneca College,2021-01-26,2021-02-06,2021-02-06 00:00:00,2021-08-18,2021-09-06,Approved (Received PPR),2021-09-06,,2021-09-07,2021-09-08,Yes,2021-09-29
2021/10/23 12:46:01 PM GMT+5:45,Study Permit,Post-Degree Diploma (2 Years),Sep-21,Langara College,2021-02-09,2021-02-12,2021-02-12 00:00:00,2021-03-17,2021-05-03,Rejected (Visa Denied),2021-08-06,"Given your previous education/employment history, not satisfied on the motivation to pursue this particular program.",,,,
2021/10/23 5:47:29 PM GMT+5:45,Study Permit,Bachelor,Sep-21,University of Prince Edward Island,2021-02-18,2021-11-10,2021-11-10 00:00:00,2021-05-25,2021-07-13,Approved (Received PPR),2021-09-20,,,2021-10-23,Yes,2021-10-24
2021/10/22 8:32:49 PM GMT+5:45,Study Permit,Post Graduate Certificate (2 Year),Jan-22,Conestoga College,2021-02-21,2021-03-03,2021-03-04 00:00:00,2021-06-25,2021-07-08,Approved (Received PPR),2021-10-21,,2021-09-24,2021-09-28,Yes,2021-10-22
2021/10/22 8:23:24 PM GMT+5:45,Study Permit,Diploma,Jan-22,Fanshawe College,2021-04-28,2021-06-30,2021-06-30 00:00:00,2021-04-18,2021-05-10,Approved (Received PPR),2021-09-01,,2021-09-01,2021-09-03,Yes,2021-09-22
2021/10/22 9:46:16 PM GMT+5:45,Study Permit,Advance Diploma (3 Years),Sep-21,Cambrian College,2021-05-04,2021-06-25,2021-06-25 00:00:00,2021-07-04,2021-07-15,Waiting for a Decision,,,,,,
2021/10/22 8:19:58 PM GMT+5:45,Study Permit,Diploma,Jan-22,Centennial College,2021-05-05,2021-06-29,2021-06-30 00:00:00,2021-06-29,2021-07-15,Waiting for a Decision,,,,,,
2021/10/22 8:26:46 PM GMT+5:45,Study Permit,Diploma,Sep-21,St.Clair College,2021-05-13,2021-06-28,2021-06-28 00:00:00,2021-06-28,2021-07-13,Waiting for a Decision,,,,,,
2021/10/23 5:37:52 PM GMT+5:45,Study Permit,Post Graduate Certificate (2 Year),Jan-22,Lambton College,2021-05-14,2021-06-25,2021-06-25 00:00:00,2021-05-19,2021-07-09,Waiting for a Decision,,,,,,
2021/10/23 9:38:57 AM GMT+5:45,Study Permit,Masters,Sep-21,Concordia university,2021-05-14,2019-06-22,,2021-05-24,2021-07-08,Waiting for a Decision,,,,,,
